"Data set code (""ISO- 3 CODE"" )",Data set identifier,Country/territory name,Geographical region,Data level,Last updated,Supplement to data level,"Records in the LOCALITY
file AAA_XY1","Records in the
LOCALITY SUBDIVISION
file AAA_XY2","Records in the
STREET
(roadnet) file AAA_XY3","Records in the ORGANIZATION
file AAA_XY4","Records in the SYNONYM
file AAA_XY5",Non-Latin scripts supported,"ISO code of
language in  the SYN_LNG fileld for non Latin script","Encoding used in the ISO 8859 folder
(UTF-8 if not available)","Data sets with specific conditions on
31 August 2024","Download the sample from www.upu.int
or ask for your sample CD",Street name
AFG,00,Afghanistan,Asia Pacific Oceania,B,2016.3,,414,,,116,10,,,ISO-8859-1,,Yes,Not in use country
ALA,00,Åland Islands,Territories,A,2024.1,,42,344,"2,436",17,"2,314",,,ISO-8859-1,,,street name use country
ALB,00,Albania,Western Europe,B,2018.2,,363,,,"3,308",1,,,ISO-8859-1,,,Not in use country
DZA,00,Algeria,Africa,B,2024.3,,"4,336",,,"3,859",,Arab,,,,,Not in use country
ASM,00,American Samoa,Territories,B,2024.3,,1,,,,,,,ISO-8859-1,,,Not in use country
AND,00,Andorra,Western Europe,A,2024.2,,42,,"10,684",13,,,,ISO-8859-1,,,street name use country
AGO,00,Angola,Africa,C,2019.2,,168,959,852,,145,,,ISO-8859-1,,,street name use country
AIA,00,Anguilla,Territories,B,2018.1,,47,,,,,,,ISO-8859-1,,,Not in use country
ATG,00,Antigua and Barbuda,Central and South America,C,2012.2,,121,33,21,,,,,ISO-8859-1,,,street name use country
ARG,00,Argentina,Central and South America,A,2017.2,Streets for the capital,"22,939","5,405","2,350,408",230,"62,458",,,ISO-8859-1,,Yes,street name use country
ARM,00,Armenia,Eastern Europe,A++,2021.2,,816,13,"579,482",847,8,Armn,hy,,,Yes,street name use country
ABW,00,Aruba,Territories,C,2020.1,,24,32,"2,348",9,,,,ISO-8859-1,,,street name use country
ASC,00,Ascension,Territories,B,2019.4,,5,,,,3,,,ISO-8859-1,,,Not in use country
AUS,00,Australia,Asia Pacific Oceania,A++,2024.3,,"18,207",,"15,570,300",826,"69,374",,,ISO-8859-1,"Geoscape data
products",Yes,street name use country
AUT,00,Austria,Western Europe,A+,2024.3,,"2,683","17,278","143,277","5,721","87,468",,,ISO-8859-1,,Yes,street name use country
AZE,00,Azerbaijan,Eastern Europe,A,2020.4,,"1,309",12,986,"1,730",134,,ru,,,Yes,street name use country
BHS,00,Bahamas,Central and South America,C,2017.2,,368,225,"1,415",399,44,,,ISO-8859-1,,Yes,street name use country
BHR,00,Bahrain,Asia Pacific Oceania,A,2018.2,,138,32,"2,904",316,,Arab,ar,ISO-8859-6,,,street name use country
BGD,00,Bangladesh,Asia Pacific Oceania,B,2018.1,,64,485,,"1,349",6,Beng,,,,,Not in use country
BRB,00,Barbados,Central and South America,A,2020.3,,11,998,"5,261",31,,,,ISO-8859-1,,,street name use country
BLR,00,Belarus,Eastern Europe,A,2018.4,,"22,771",,"281,874",653,19,Cyrl,ru,ISO-8859-5,,Yes,street name use country
BEL,10,Belgium,Western Europe,A,2024.3,,"2,775",28,"159,483","1,451","10,869",,,ISO-8859-1,Road65,Yes,street name use country
BLZ,00,Belize,Central and South America,C,2020.4,,213,,,16,,,,ISO-8859-1,,,Not in use country
BEN,00,Benin,Africa,C,2020.1,,77,"4,337","1,711",111,57,,,ISO-8859-1,,,street name use country
BMU,00,Bermuda,Territories,A++,2022.2,,11,,"18,382",23,2,,,ISO-8859-1,,,street name use country
BTN,00,Bhutan,Asia Pacific Oceania,B,2018.2,,72,,,71,,,,ISO-8859-1,,,Not in use country
BOL,00,Bolivia,Central and South America,C,2019.4,,"1,601",,,,,,,ISO-8859-1,,,Not in use country
BES,00,"Bonaire, Saint Eustatius
and Saba",Territories,C,2011.1,,31,,,,,,,ISO-8859-1,,,Not in use country
BIH,00,Bosnia and Herzegovina,Eastern Europe,A,2024.1,,549,"7,984",300,,"4,243",Cyrl,,,,,street name use country
BWA,00,Botswana,Africa,C,2020.1,,378,"6,338",,,,,,ISO-8859-1,,,Not in use country
IOT,00,Br. Indian Ocean Ter.,Territories,B,2020.2,,22,,,,,,,ISO-8859-1,,,Not in use country
BRA,10,Brazil,Central and South America,A,2024.3,More detailed data,"11,293","69,667","1,313,131","162,809","1,509,342",,,ISO-8859-1,DNE,Yes,street name use country
XBA,00,British Antarctic Territory,Territories,B,2016.4,,3,,,,,,,ISO-8859-1,,,Not in use country
BRN,00,Brunei Darussalam,Asia Pacific Oceania,A,2019.3,"Partial list of streets for the
capital",39,456,244,95,,,,ISO-8859-1,,,street name use country
BGR,00,Bulgaria,Eastern Europe,A+,2024.2,,"5,307",703,"27,187","4,245",1,Cyrl,bg,ISO-8859-5,,Yes,street name use country
BFA,00,Burkina Faso,Africa,B+,2022.3,,351,122,"1,056",222,5,,,ISO-8859-1,,,street name use country
BDI,00,Burundi,Africa,C,2014.2,,135,,,136,,,,ISO-8859-1,,,Not in use country
CPV,00,Cabo Verde,Africa,B+,2023.4,,451,"3,559",,"23,636",41,,,ISO-8859-1,,,Not in use country
KHM,00,Cambodia,Asia Pacific Oceania,B+,2018.4,,197,"1,646",,224,,Khmr,,,,,Not in use country
CMR,00,Cameroon,Africa,C,2015.2,,313,,,,,,,ISO-8859-1,,,Not in use country
CAN,10,Canada,North America,A+,2024.3,,"8,328",,"2,101,640","58,054","16,870",,,ISO-8859-1,"Address Lookup File
(CPC)",Yes,street name use country
CYM,00,Cayman Islands,Territories,B,2019.4,,3,7,"1,557","15,474",3,,,ISO-8859-1,,,street name use country
CAF,00,Central African Rep.,Africa,C,2020.2,,72,349,,,,,,ISO-8859-1,,,Not in use country
TCD,00,Chad,Africa,C,2015.2,,272,64,,,23,,ar,ISO-8859-6,,,Not in use country
CHL,00,Chile,Central and South America,A+,2024.2,,342,,"1,231,322",753,17,,,ISO-8859-1,,Yes,street name use country
CHN,00,China,Asia Pacific Oceania,B+,2015.3,,345,"29,333",,"49,269",,Hans,zh,,,Yes,Not in use country
CXR,00,Christmas Island,Territories,B,2014.4,,1,,,,,,,ISO-8859-1,,,Not in use country
CPT,00,Clipperton Island,Territories,B,2024.3,,1,,,,,,,ISO-8859-1,,,Not in use country
CCK,00,Cocos (Keeling) Is.,Territories,B,2014.4,,2,,,,,,,ISO-8859-1,,,Not in use country
COL,00,Colombia,Central and South America,B+,2021.3,,"1,121","20,557",,"4,112",1,,,ISO-8859-1,,Yes,Not in use country
COM,00,Comoros,Africa,C,2022.3,,316,12,,52,6,,,ISO-8859-1,,,Not in use country
COD,00,Congo (Dem. Rep.),Africa,B,2022.3,,"90,840",174,,54,,,,ISO-8859-1,,,Not in use country
COG,00,Congo (Rep.),Africa,C,2015.2,,92,19,,,17,,,ISO-8859-1,,,Not in use country
COK,00,Cook Islands,Territories,C,2017.1,,37,29,228,,1,,,ISO-8859-1,,,street name use country
CRI,00,Costa Rica,Central and South America,B+,2010.2,,81,473,,,,,,ISO-8859-1,,,Not in use country
CIV,00,Côte d'Ivoire,Africa,C,2021.1,,108,510,,173,85,,,ISO-8859-1,,,Not in use country
HRV,00,Croatia,Western Europe,A,2024.3,,295,"6,778","5,345","1,824",160,,,ISO-8859-2,,Yes,street name use country
CUB,00,Cuba,Central and South America,B,2021.1,,169,,,"1,095",10,,,ISO-8859-1,,,Not in use country
CUW,00,Curaçao,Territories,C,2011.1,,32,,,,,,,ISO-8859-1,,,Not in use country
CYP,00,Cyprus,Western Europe,A,2024.3,Streets for 132 towns/cities,744,,"34,192","33,061",5,Grek,el,ISO-8859-7,,Yes,street name use country
CZE,00,Czech Republic,Eastern Europe,A++,2024.3,Premise level data,"6,257","15,105","2,986,498","7,859",5,,,ISO-8859-2,,Yes,street name use country
DNK,00,Denmark,Western Europe,A++,2024.3,Streets directory,931,"8,823","3,923,143",594,"31,313",,,ISO-8859-1,,Yes,street name use country
DGA,00,Diego Garcia,Territories,B,2020.2,,22,,,,,,,ISO-8859-1,,,Not in use country
DJI,00,Djibouti,Africa,A,2021.3,,105,178,139,,63,,ar,ISO-8859-6,,,street name use country
DMA,00,Dominica,Central and South America,C,2018.1,,126,24,,,,,,ISO-8859-1,,,Not in use country
DOM,00,Dominican Republic,Central and South America,A,2021.1,,167,"1,122","8,263",107,,,,ISO-8859-1,,,street name use country
